Country,Full-time employment
Sweden,
Denmark,72.2
Slovenia,72.3
Switzerland,
Lithuania,66.5
Austria,35.3
Portugal,68.4
Netherlands,24.0
Luxembourg,48.6
Canada,56.8
Finland,63.6
Belgium,49.9
Russian Fed.,61.2
France,55.7
Israel,
Latvia,63.4
Cyprus,59.3
Croatia,66.3
Germany,30.0
Poland,61.0
United Kingdom,33.0
Romania,60.6
United States,53.1
Estonia,57.7
Bulgaria,61.3
Japan,
New Zealand,36.0
Australia,
Czech Republic,56.2
Ireland,35.2
Spain,43.2
Hungary,52.0
Malta,40.4
Slovak Republic,50.3
Italy,34.8
Chile,41.3
Greece,43.1
Costa Rica,34.3
Mexico,
Turkey,21.5
Iceland,
Korea,
Norway,
