Country,Youngest child aged 0-14,Youngest child aged 0-2,Youngest child aged 3-5,Youngest child aged 6-14
Denmark,82.0,75.8,79.9,86.4
Slovenia,79.1,71.9,79.1,84.4
Switzerland,77.5,70.9,75.9,82.3
Lithuania,75.8,69.5,71.8,81.5
Austria,75.7,66.4,74.7,81.6
Portugal,75.7,73.2,76.5,76.4
Netherlands,74.8,73.5,73.0,76.3
Luxembourg,74.8,71.6,79.7,74.5
Canada,73.7,66.4,72.1,78.5
Finland,73.6,51.6,78.3,89.2
Belgium,72.4,65.7,70.3,76.9
Russian Fed.,72.3,63.7,85.5,86.7
France,72.2,59.1,76.4,78.8
Israel,72.1,69.9,74.5,72.1
Latvia,70.1,54.4,69.6,79.5
Cyprus,69.6,68.1,70.7,70.0
Croatia,69.2,65.7,69.8,70.8
Germany,69.0,51.5,70.3,77.7
Poland,67.6,58.5,65.5,74.5
United Kingdom,67.1,59.3,62.1,76.1
Romania,65.8,57.0,63.2,68.7
United States,65.7,55.8,63.3,71.1
Estonia,65.5,23.7,81.1,82.1
Bulgaria,65.3,44.1,60.4,75.6
Japan,63.2,47.4,60.8,72.2
New Zealand,63.2,45.3,62.8,76.9
Czech Republic,61.6,22.3,71.9,86.6
Ireland,60.2,60.9,58.1,60.7
Spain,59.5,59.7,58.8,59.8
Hungary,58.1,13.4,67.9,79.1
Malta,56.8,54.5,59.2,56.8
Slovak Republic,56.6,16.7,59.4,79.8
Italy,55.3,53.6,54.6,56.4
Chile,54.9,45.2,55.1,60.3
Greece,52.2,50.6,50.1,53.7
Costa Rica,51.5,38.4,51.8,57.0
Mexico,44.8,33.4,43.2,50.8
Turkey,30.0,21.7,29.9,35.6
Australia,,,,
Iceland,,,,
Korea,,,,
Norway,,,,
Sweden,,,,
